date,character_name,world_name,character_class,character_level,character_exp,character_exp_rate,character_date_create,past_level,growth,create_year,create_year_month
2025-04-27 00:00:00+09:00,보우어엉,루나,보우마스터,280.0,1107008449344.0,3.290,2023-06-15 00:00:00+09:00,277.0,3.0,2023.0,2023-06
2025-04-27 00:00:00+09:00,sjhi1220,챌린저스2,보우마스터,280.0,1125589113256.0,3.345,2024-12-19 00:00:00+09:00,279.0,1.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,벌떡바지,스카니아,보우마스터,280.0,1234339710751.0,3.668,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,폐급원딜,베라,보우마스터,280.0,2928359029376.0,8.703,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,흥나루,크로아,보우마스터,280.0,1050102105611.0,3.121,2023-06-15 00:00:00+09:00,277.0,3.0,2023.0,2023-06
2025-04-27 00:00:00+09:00,쓰레기규태,챌린저스,보우마스터,280.0,1044533237779.0,3.104,2024-12-19 00:00:00+09:00,279.0,1.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,HM모노레일,오로라,보우마스터,280.0,1191318700865.0,3.541,2017-05-29 00:00:00+09:00,278.0,2.0,2017.0,2017-05
2025-04-27 00:00:00+09:00,뎃츠라이트,스카니아,보우마스터,280.0,1313837843800.0,3.905,2022-12-29 00:00:00+09:00,278.0,2.0,2022.0,2022-12
2025-04-27 00:00:00+09:00,방구리티컬,베라,보우마스터,280.0,2171252894702.0,6.453,2016-04-28 00:00:00+09:00,277.0,3.0,2016.0,2016-04
2025-04-27 00:00:00+09:00,inplacehunt,엘리시움,보우마스터,280.0,1127574540971.0,3.351,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,보망윙,챌린저스2,보우마스터,280.0,1354386418116.0,4.025,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,나야지정빈,크로아,보우마스터,280.0,1418564202282.0,4.216,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,행복가득보마,베라,보우마스터,280.0,890017718434.0,2.645,2024-12-19 00:00:00+09:00,280.0,0.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,비석박고봄,스카니아,보우마스터,280.0,1059621230540.0,3.149,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,잠재레전보마,베라,보우마스터,280.0,861544116765.0,2.560,2024-06-24 00:00:00+09:00,277.0,3.0,2024.0,2024-06
2025-04-27 00:00:00+09:00,벌탱보마,오로라,보우마스터,280.0,838664447065.0,2.492,2025-01-19 00:00:00+09:00,276.0,4.0,2025.0,2025-01
2025-04-27 00:00:00+09:00,겨울밤의,엘리시움,보우마스터,280.0,848670320999.0,2.522,2022-11-03 00:00:00+09:00,278.0,2.0,2022.0,2022-11
2025-04-27 00:00:00+09:00,부에냥,제니스,보우마스터,280.0,813614473659.0,2.418,2022-12-24 00:00:00+09:00,280.0,0.0,2022.0,2022-12
2025-04-27 00:00:00+09:00,오빠랑보마,오로라,보우마스터,280.0,993016899992.0,2.951,2020-07-01 00:00:00+09:00,278.0,2.0,2020.0,2020-07
2025-04-27 00:00:00+09:00,소릿,챌린저스,보우마스터,280.0,2095321056782.0,6.227,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,밍뚝부,베라,보우마스터,280.0,778456583880.0,2.314,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,수리여,챌린저스,보우마스터,280.0,775009133054.0,2.303,2024-12-25 00:00:00+09:00,279.0,1.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,덩욥이,챌린저스4,보우마스터,280.0,767140154663.0,2.280,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,빨강I,챌린저스,보우마스터,280.0,998902373253.0,2.969,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,냐효,오로라,보우마스터,280.0,759690517281.0,2.258,2024-12-19 00:00:00+09:00,280.0,0.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,김진제2,크로아,보우마스터,280.0,751680295274.0,2.234,2023-06-22 00:00:00+09:00,280.0,0.0,2023.0,2023-06
